symbol,agent,episodes,pnl_mean,reward_mean,avg_abs_position_mean,avg_spread_mean,fill_rate_mean,turnover_mean,positive_episodes,run
AAPL,Fixed_3,48,0.0625,-0.1096,1.8481,0.0718,0.0013,2131.3542,1,piroth2_table2_real_AAPL_20260508_171900
AAPL,LOB-RL,48,-0.0417,-1.2304,18.4911,0.0107,0.0543,53787.2500,8,piroth2_table2_real_AAPL_20260508_171900
AAPL,Fixed_2,48,-0.7917,-4.1535,32.5993,0.0507,0.0186,31053.8333,7,piroth2_table2_real_AAPL_20260508_171900
AAPL,Inventory-RL,48,-1.4583,-2.0971,48.7736,0.0440,0.1934,151399.2500,16,piroth2_table2_real_AAPL_20260508_171900
AAPL,C-PPO,48,-4.8750,-6.0000,39.9698,0.0369,0.2808,211398.8333,6,piroth2_table2_real_AAPL_20260508_171900
AAPL,Random,48,-5.3333,-14.4917,123.7729,0.0715,0.1291,154617.9167,12,piroth2_table2_real_AAPL_20260508_171900
AAPL,AS,48,-7.3542,-19.4477,184.5771,0.0343,0.2743,284375.9792,14,piroth2_table2_real_AAPL_20260508_171900
AAPL,D-DQN,48,-8.0000,-28.9179,284.0414,0.0301,0.5631,501637.7500,18,piroth2_table2_real_AAPL_20260508_171900
AAPL,Fixed_1,48,-8.7500,-32.2027,315.8374,0.0261,0.5935,578797.0000,18,piroth2_table2_real_AAPL_20260508_171900
GOOGL,Random,48,1.8125,-19.5775,106.2392,0.0794,0.1167,204587.8125,15,piroth2_table2_real_GOOGL_20260508_171900
GOOGL,LOB-RL,48,0.0417,-2.2358,16.7217,0.0106,0.0626,136576.5833,9,piroth2_table2_real_GOOGL_20260508_171900
GOOGL,Fixed_3,48,-0.5833,-10.7088,25.8214,0.0808,0.0078,28123.6250,4,piroth2_table2_real_GOOGL_20260508_171900
GOOGL,Fixed_2,48,-1.1667,-14.4229,52.9991,0.0582,0.0324,81805.0833,10,piroth2_table2_real_GOOGL_20260508_171900
GOOGL,Inventory-RL,48,-1.7708,-3.5863,37.2734,0.0576,0.1458,168624.6458,14,piroth2_table2_real_GOOGL_20260508_171900
GOOGL,D-DQN,48,-12.9375,-40.6340,232.2241,0.0404,0.4935,640360.5208,19,piroth2_table2_real_GOOGL_20260508_171900
GOOGL,Fixed_1,48,-16.4167,-49.2375,300.4012,0.0311,0.5991,852533.2083,18,piroth2_table2_real_GOOGL_20260508_171900
GOOGL,C-PPO,48,-17.7917,-25.4050,42.5021,0.0348,0.3533,448453.4583,3,piroth2_table2_real_GOOGL_20260508_171900
GOOGL,AS,48,-19.8958,-51.2435,255.0901,0.0337,0.3836,590109.3125,15,piroth2_table2_real_GOOGL_20260508_171900
