stock,as_calibration,as_gamma,as_kappa,episode_sigma,mean_half_spread,target_inventory_lots,description
000001,stock_specific,0.05,125.22877541262076,0.22747869768155873,0.007985385121790613,5.0,spread kappa + volatility gamma
000001,stock_risk_low,0.025,125.22877541262076,0.22747869768155873,0.007985385121790613,5.0,paper-selected half-gamma teacher
000001,fill_kappa,0.05,125.22877541262076,0.22747869768155873,0.007985385121790613,5.0,fill-decay kappa + volatility gamma
000001,inventory_target,0.030863444627147546,125.22877541262076,0.22747869768155873,0.007985385121790613,5.0,fill-decay kappa + half-cap spread-skew gamma
000858,stock_specific,0.05,23.886201669360876,0.6960589769493524,0.041865174456879525,5.0,spread kappa + volatility gamma
000858,stock_risk_low,0.025,23.886201669360876,0.6960589769493524,0.041865174456879525,5.0,paper-selected half-gamma teacher
000858,fill_kappa,0.05,23.886201669360876,0.6960589769493524,0.041865174456879525,5.0,fill-decay kappa + volatility gamma
000858,inventory_target,0.025,23.886201669360876,0.6960589769493524,0.041865174456879525,5.0,fill-decay kappa + half-cap spread-skew gamma
002415,stock_specific,0.05,83.78609448688599,0.24839468117999666,0.011935154707044112,5.0,spread kappa + volatility gamma
002415,stock_risk_low,0.025,83.78609448688599,0.24839468117999666,0.011935154707044112,5.0,paper-selected half-gamma teacher
002415,fill_kappa,0.05,83.78609448688599,0.24839468117999666,0.011935154707044112,5.0,fill-decay kappa + volatility gamma
002415,inventory_target,0.038687749234836456,83.78609448688599,0.24839468117999666,0.011935154707044112,5.0,fill-decay kappa + half-cap spread-skew gamma
